animal,fov,treatment,stimulated,cell_id,x_px,y_px,x_um,y_um,site_x_px,site_y_px,distance_um,soma_area_px,activity_marker_intensity
A01,A01_F1,Control,0,A01_F1_C001,33.837844999772614,112.48545013486192,25.37838374982946,84.36408760114644,130.50859308035467,124.59338236323242,73.06953880369522,69.0,53.79247225387866
A01,A01_F1,Control,0,A01_F1_C002,123.13990116867348,49.05942819580223,92.35492587650512,36.79457114685167,130.50859308035467,124.59338236323242,56.91939622939974,69.0,48.14993432886386
A01,A01_F1,Control,0,A01_F1_C003,182.42189912693777,38.37190862176559,136.81642434520333,28.778931466324195,130.50859308035467,124.59338236323242,75.48269872524179,107.0,40.5187389312849
A01,A01_F1,Control,0,A01_F1_C004,102.7649401949936,131.88372236815638,77.0737051462452,98.91279177611727,130.50859308035467,124.59338236323242,21.514143596854467,90.0,61.24798181608083
A01,A01_F1,Control,0,A01_F1_C005,111.90570073608924,148.13726857364864,83.92927555206694,111.10295143023647,130.50859308035467,124.59338236323242,22.50477676121256,94.0,53.20787039636861
A01,A01_F1,Control,0,A01_F1_C006,183.1783666517812,233.85400312197487,137.38377498883588,175.39050234148115,130.50859308035467,124.59338236323242,90.9697390172481,81.0,47.91535242226406
A01,A01_F1,Control,0,A01_F1_C007,77.93466998971962,162.46295204251942,58.45100249228972,121.84721403188956,130.50859308035467,124.59338236323242,48.5946854549892,92.0,51.20458963581681
A01,A01_F1,Control,0,A01_F1_C008,173.52211122747607,79.911213770897,130.14158342060705,59.93341032817276,130.50859308035467,124.59338236323242,46.51607947900896,95.0,62.86947418482658
A01,A01_F1,Control,0,A01_F1_C009,12.345699374049993,237.84278374580776,9.259274530537494,178.38208780935582,130.50859308035467,124.59338236323242,122.75256292208118,133.0,30.96004974879588
A01,A01_F1,Control,0,A01_F1_C010,81.22908373991515,84.84475247196613,60.921812804936366,63.6335643539746,130.50859308035467,124.59338236323242,47.48408455183037,72.0,54.60170639516841
A01,A01_F1,Control,0,A01_F1_C011,218.87696834327647,147.75780205469067,164.15772625745734,110.818351541018,130.50859308035467,124.59338236323242,68.51552779126754,122.0,52.691861638495766
A01,A01_F1,Control,0,A01_F1_C012,121.34384232218488,191.4002662385254,91.00788174163868,143.55019967889405,130.50859308035467,124.59338236323242,50.57443246485589,64.0,46.06721156266615
A01,A01_F1,Control,0,A01_F1_C013,19.04027377769332,176.01590219210465,14.28020533326999,132.01192664407847,130.50859308035467,124.59338236323242,92.06830201791678,104.0,54.61504892963662
A01,A01_F1,Control,0,A01_F1_C014,98.82456936700522,33.07782953298782,74.11842702525392,24.808372149740865,130.50859308035467,124.59338236323242,72.63382645006062,108.0,49.971340068966015
A01,A01_F1,Control,0,A01_F1_C015,165.2360156432716,228.09961429999424,123.9270117324537,171.07471072499567,130.50859308035467,124.59338236323242,81.88246353329077,108.0,52.39872928984845
A01,A01_F1,Control,0,A01_F1_C016,60.06835099479229,158.18092635019957,45.051263246094216,118.63569476264968,130.50859308035467,124.59338236323242,58.52860270059298,83.0,46.01194883313349
A01,A01_F1,Control,0,A01_F1_C017,81.17383703252254,184.08754977608464,60.8803777743919,138.06566233206348,130.50859308035467,124.59338236323242,57.96619003459493,104.0,49.32837898054397
A01,A01_F1,Control,0,A01_F1_C018,179.54223548897124,62.741978499962656,134.65667661672842,47.05648387497199,130.50859308035467,124.59338236323242,59.19725934820613,102.0,45.18731331115986
A01,A01_F1,Control,0,A01_F1_C019,204.5337548316405,164.57531292259242,153.40031612373036,123.43148469194432,130.50859308035467,124.59338236323242,63.0993829664847,103.0,59.979295127725536
A01,A01_F1,Control,0,A01_F1_C020,170.40934662360127,202.25757403956413,127.80700996770096,151.6931805296731,130.50859308035467,124.59338236323242,65.48576716475883,75.0,41.1892527233216
A01,A01_F1,Control,0,A01_F1_C021,215.8074028425709,35.73822188592126,161.85555213192816,26.803666414440947,130.50859308035467,124.59338236323242,92.37834513993772,103.0,49.226566589535054
A01,A01_F1,Control,0,A01_F1_C022,209.1462542921477,103.39114117070176,156.85969071911074,77.54335587802632,130.50859308035467,124.59338236323242,61.08434288548436,98.0,48.59607794353168
A01,A01_F1,Control,0,A01_F1_C023,214.10428275211268,75.88685545195389,160.5782120640845,56.91514158896542,130.50859308035467,124.59338236323242,72.56251005990616,51.0,43.85804543446724
A01,A01_F1,Control,0,A01_F1_C024,142.33985474556647,104.72024330226505,106.75489105917484,78.54018247669877,130.50859308035467,124.59338236323242,17.34625982478882,69.0,51.922270327253976
A01,A01_F1,Control,0,A01_F1_C025,154.1950021213659,57.6203036271327,115.64625159102442,43.215227720349525,130.50859308035467,124.59338236323242,53.27872068063923,80.0,53.70048536361346
A01,A01_F1,Control,0,A01_F1_C026,53.82670947559808,185.2716094707624,40.37003210669856,138.9537071030718,130.50859308035467,124.59338236323242,73.33895054078435,83.0,52.31768160091944
A01,A01_F1,Control,0,A01_F1_C027,186.5158330616724,143.53886687307565,139.8868747962543,107.65415015480671,130.50859308035467,124.59338236323242,44.34360214756083,143.0,40.247857423236354
A01,A01_F1,Control,0,A01_F1_C028,225.6904851296397,59.73981118913237,169.26786384722982,44.80485839184928,130.50859308035467,124.59338236323242,86.38221909522322,76.0,45.90538001425377
A01,A01_F1,Control,0,A01_F1_C029,209.40906090526315,51.205056227884,157.05679567894737,38.403792170913,130.50859308035467,124.59338236323242,80.81621593291129,118.0,51.73469304542273
A01,A01_F1,Control,0,A01_F1_C030,235.73099124747287,156.6967129206272,176.79824343560466,117.5225346904704,130.50859308035467,124.59338236323242,82.50810270067883,136.0,44.60624288877635
A01,A01_F1,Control,0,A01_F1_C031,152.7970388183234,237.16963304676872,114.59777911374256,177.87722478507655,130.50859308035467,124.59338236323242,86.07107647258422,112.0,42.43872716111872
A01,A01_F1,Control,0,A01_F1_C032,194.5915895989949,195.2608544525446,145.94369219924616,146.44564083940844,130.50859308035467,124.59338236323242,71.5474923078702,117.0,57.88405234819438
A01,A01_F1,Control,0,A01_F1_C033,24.54975182606394,97.67442301390544,18.412313869547955,73.25581726042907,130.50859308035467,124.59338236323242,81.99358119375273,79.0,46.437056100385576
A01,A01_F1,Control,0,A01_F1_C034,31.695587142388582,56.89839889999934,23.77169035679144,42.67379917499951,130.50859308035467,124.59338236323242,89.83303552885462,75.0,47.54105052062206
A01,A01_F1,Control,0,A01_F1_C035,61.61714184057815,211.2049282624898,46.212856380433614,158.40369619686734,130.50859308035467,124.59338236323242,83.00162928853982,135.0,45.02137339416883
A01,A01_F1,Control,0,A01_F1_C036,41.407155294646856,80.84780226635228,31.055366470985145,60.6358516997642,130.50859308035467,124.59338236323242,74.44573440661168,73.0,42.8933068411238
A01,A01_F1,Control,0,A01_F1_C037,126.34049911044517,209.07481539597256,94.75537433283388,156.80611154697942,130.50859308035467,124.59338236323242,63.438143992527365,60.0,48.88969747681743
A01,A01_F1,Control,0,A01_F1_C038,235.9336896342711,176.28958679944006,176.95026722570333,132.21719009958005,130.50859308035467,124.59338236323242,88.06337803984376,94.0,47.90593466015022
A01,A01_F1,Control,0,A01_F1_C039,61.57543490788717,138.43598209825694,46.18157618091538,103.82698657369272,130.50859308035467,124.59338236323242,52.73197604839183,92.0,51.96497371430725
A01,A01_F1,Control,0,A01_F1_C040,175.78249797295777,24.03674643257704,131.83687347971832,18.027559824432775,130.50859308035467,124.59338236323242,82.70892917531395,49.0,48.47614885473988
A01,A01_F2,Control,0,A01_F2_C001,16.749309092944365,197.5375531503618,12.561981819708274,148.15316486277135,122.84660107117423,123.7533144167389,96.92353405376008,120.0,50.70490136332623
A01,A01_F2,Control,0,A01_F2_C002,64.11996665195498,115.26760873997678,48.08997498896623,86.45070655498259,122.84660107117423,123.7533144167389,44.50240381103823,102.0,58.37604342521057
A01,A01_F2,Control,0,A01_F2_C003,98.48205710724866,221.69035593389972,73.86154283043649,166.2677669504248,122.84660107117423,123.7533144167389,75.69166728136977,101.0,48.939685658845605
